City No.,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,atuona,-9.8,-139.0333,77.67,74.0,16.0,14.72,PF,1635150397.0
1,miles city,46.4083,-105.8406,47.52,76.0,1.0,16.11,US,1635150398.0
2,vaitupu,,,,,,,,
3,kampot,10.6167,104.1833,83.17,76.0,98.0,10.04,KH,1635150399.0
4,kuche,,,,,,,,
5,staryy nadym,65.6118,72.6842,26.55,79.0,84.0,9.28,RU,1635150401.0
6,busselton,-33.65,115.3333,60.04,52.0,95.0,16.06,AU,1635150402.0
7,avarua,-21.2078,-159.775,73.45,68.0,90.0,9.22,CK,1635150402.0
8,rikitea,-23.1203,-134.9692,74.1,80.0,100.0,17.69,PF,1635150403.0
9,tuktoyaktuk,69.4541,-133.0374,23.79,97.0,100.0,8.1,CA,1635150404.0
10,kaitangata,-46.2817,169.8464,51.66,95.0,100.0,6.31,NZ,1635150405.0
11,neuquen,-38.9516,-68.0591,62.08,30.0,100.0,32.37,AR,1635150183.0
12,belle fourche,44.6714,-103.8522,56.05,69.0,97.0,11.95,US,1635150406.0
13,ushuaia,-54.8,-68.3,33.46,86.0,90.0,23.02,AR,1635150407.0
14,new norfolk,-42.7826,147.0587,50.92,64.0,99.0,1.99,AU,1635150408.0
15,laguna,38.421,-121.4238,58.64,96.0,90.0,1.99,US,1635150409.0
16,grand river south east,,,,,,,,
17,itoman,26.1247,127.6694,77.4,73.0,40.0,21.85,JP,1635150410.0
18,ponta do sol,32.6667,-17.1,71.71,66.0,83.0,6.11,PT,1635150411.0
19,illoqqortoormiut,,,,,,,,
20,saleaula,,,,,,,,
21,vaini,-21.2,-175.2,73.56,83.0,20.0,9.22,TO,1635150413.0
22,saint anthony,45.0205,-93.218,41.95,78.0,1.0,1.99,US,1635150414.0
23,kenai,60.5544,-151.2583,40.14,94.0,75.0,10.36,US,1635150415.0
24,ipixuna,-1.7625,-48.8043,76.95,97.0,98.0,3.06,BR,1635150416.0
25,sao filipe,14.8961,-24.4956,77.49,70.0,99.0,10.63,CV,1635150417.0
26,jamestown,42.097,-79.2353,58.32,100.0,90.0,1.99,US,1635150417.0
27,nanortalik,60.1432,-45.2371,30.94,65.0,45.0,4.99,GL,1635150418.0
28,ilhabela,-23.7781,-45.3581,67.57,85.0,99.0,0.98,BR,1635150419.0
29,praya,14.9215,-23.5087,77.54,78.0,40.0,18.41,CV,1635150420.0
30,bethel,41.3712,-73.414,59.68,93.0,90.0,9.22,US,1635150421.0
31,los llanos de aridane,28.6585,-17.9182,65.95,73.0,75.0,3.0,ES,1635150422.0
32,ishigaki,24.3448,124.1572,77.13,73.0,20.0,18.41,JP,1635150423.0
33,barrow,71.2906,-156.7887,26.62,86.0,90.0,8.05,US,1635150424.0
34,villa rica,33.7321,-84.9191,60.42,96.0,3.0,4.25,US,1635150425.0
35,quang ngai,15.1167,108.8,78.03,86.0,96.0,12.33,VN,1635150425.0
36,newala,-10.9431,39.2787,86.85,40.0,30.0,8.61,TZ,1635150426.0
37,hermanus,-34.4187,19.2345,70.9,60.0,0.0,14.56,ZA,1635150427.0
38,saskylakh,71.9167,114.0833,-17.61,100.0,67.0,2.28,RU,1635150428.0
39,natchitoches,31.7668,-93.1335,74.08,100.0,75.0,0.0,US,1635150429.0
40,raudeberg,61.9875,5.1352,51.58,91.0,100.0,14.0,NO,1635150430.0
41,pyu,18.4833,96.4333,85.93,71.0,26.0,2.19,MM,1635150431.0
42,iisalmi,63.5592,27.1907,41.02,100.0,100.0,5.08,FI,1635150432.0
43,mezen,65.8522,44.24,32.32,80.0,19.0,7.85,RU,1635150433.0
44,samana,19.2056,-69.3369,77.05,88.0,39.0,5.91,DO,1635150433.0
45,port keats,-14.25,129.55,85.73,62.0,68.0,5.17,AU,1635150434.0
46,attawapiskat,,,,,,,,
47,saint-philippe,-21.3585,55.7679,81.99,70.0,40.0,14.38,RE,1635150436.0
48,carutapera,-1.195,-46.02,77.25,89.0,33.0,6.11,BR,1635150437.0
49,albany,42.6001,-73.9662,50.4,94.0,100.0,5.26,US,1635150437.0
50,punta arenas,-53.15,-70.9167,37.51,87.0,90.0,41.43,CL,1635150257.0
51,mys shmidta,,,,,,,,
52,marawi,7.9986,124.2928,75.65,89.0,95.0,3.13,PH,1635150439.0
53,tumannyy,,,,,,,,
54,nguiu,,,,,,,,
55,east london,-33.0153,27.9116,70.74,52.0,20.0,19.57,ZA,1635150441.0
56,goderich,43.7501,-81.7165,46.9,87.0,100.0,9.22,CA,1635150442.0
57,senador jose porfirio,-2.5908,-51.9542,73.56,92.0,76.0,2.17,BR,1635150443.0
58,taolanaro,,,,,,,,
59,the valley,18.217,-63.0578,81.1,71.0,66.0,17.45,AI,1635150445.0
60,pierre,44.3683,-100.351,43.72,86.0,90.0,7.0,US,1635150215.0
61,kapaa,22.0752,-159.319,78.78,93.0,90.0,14.97,US,1635150446.0
62,juifang,,,,,,,,
63,saldanha,-33.0117,17.9442,73.45,58.0,0.0,11.48,ZA,1635150447.0
64,bolton,53.5833,-2.4333,52.48,95.0,17.0,1.99,GB,1635150448.0
65,marzuq,14.4,46.4667,80.38,13.0,69.0,3.62,YE,1635150449.0
66,bima,-8.4667,118.7167,88.95,58.0,85.0,1.34,ID,1635150450.0
67,castro,-24.7911,-50.0119,53.26,96.0,100.0,9.53,BR,1635150451.0
68,mataura,-46.1927,168.8643,57.06,87.0,100.0,3.15,NZ,1635150452.0
69,zaozerne,45.1582,33.2787,48.04,58.0,13.0,10.02,UA,1635150452.0
70,mega,4.05,38.3,75.13,41.0,12.0,15.03,ET,1635150453.0
71,talara,-4.5772,-81.2719,65.05,84.0,23.0,14.83,PE,1635150454.0
72,chokurdakh,70.6333,147.9167,-11.69,100.0,89.0,3.09,RU,1635150455.0
73,cape town,-33.9258,18.4232,71.11,46.0,0.0,5.75,ZA,1635150456.0
74,port hardy,50.6996,-127.4199,53.6,76.0,75.0,28.77,CA,1635150456.0
75,natal,-5.795,-35.2094,75.42,94.0,40.0,4.61,BR,1635150457.0
76,lavrentiya,65.5833,-171.0,20.61,81.0,100.0,10.11,RU,1635150458.0
77,lompoc,34.6391,-120.4579,61.79,86.0,90.0,9.22,US,1635150459.0
78,sitka,57.0531,-135.33,40.89,65.0,20.0,3.44,US,1635150460.0
79,moree,-29.4667,149.85,73.42,18.0,40.0,10.36,AU,1635150309.0
80,airai,-8.9266,125.4092,69.3,73.0,94.0,1.36,TL,1635150461.0
81,narsaq,60.9167,-46.05,28.62,66.0,36.0,5.1,GL,1635150462.0
82,ozgon,,,,,,,,
